185	caesaris	0.0758	49.6	
186	natura	0.0757	49.7	
187	uis	0.0749	49.8	
188	paucus	0.0735	49.8	
189	uolo	0.0735	49.9	
190	hannibal	0.0734	50.0	
191	finis	0.0732	50.1	
192	os	0.0732	50.1	
193	populus	0.073	50.2	
194	domus	0.0728	50.3	
195	sic	0.0723	50.3	
196	classis	0.0722	50.4	
197	princeps	0.071	50.5	
198	iste	0.0709	50.6	
199	ius	0.0697	50.6	
200	genus	0.0694	50.7	
201	gens	0.069	50.8	
202	tres	0.0688	50.8	
203	auxilium	0.068	50.9	
204	coepio	0.0678	51.0	
205	solus	0.0675	51.0	
206	postquam	0.0674	51.1	
207	maris	0.0664	51.2	
208	licet	0.066	51.2	
209	moueo	0.0659	51.3	
210	caesar	0.0658	51.4	
211	patior	0.0652	51.4	
212	fuga	0.0651	51.5	
213	Q.	0.0637	51.6	
214	numerus	0.0635	51.6	
215	vinco	0.063	51.7	
216	moveo	0.0625	51.8	
217	aduersus	0.0625	51.8	
218	superus	0.062	51.9	
219	prouincia	0.062	51.9	
220	medius	0.0615	52.0	
221	quaero	0.0608	52.1	
222	ullus	0.0605	52.1	
223	placeo	0.0605	52.2	
224	aequus	0.0603	52.2	
225	ciuitas	0.0602	52.3	
226	multitudo	0.0594	52.4	
227	agmen	0.0594	52.4	
228	cura	0.0593	52.5	
229	equus	0.0593	52.5	
230	prope	0.0592	52.6	
231	ceterus	0.059	52.7	
232	vir	0.0586	52.7	
233	certamen	0.0581	52.8	
234	scio	0.0581	52.8	
235	scribo	0.0575	52.9	
236	italia	0.0571	53.0	
237	ordo	0.057	53.0	
238	trado	0.0566	53.1	
239	aliquis	0.0566	53.1	
240	honor	0.0565	53.2	
241	circa	0.0564	53.2	
242	contra	0.0559	53.3	
243	reliquus	0.0558	53.3	
244	subeo	0.0558	53.4	
245	adeo	0.0556	53.5	
246	amor	0.0556	53.5	
247	cogo	0.0554	53.6	
248	saepe	0.055	53.6	
249	ingens	0.055	53.7	
250	filius	0.0547	53.7	
251	cognosco	0.0546	53.8	
252	ignis	0.0546	53.8	
253	similis	0.0546	53.9	
254	quisquam	0.0545	54.0	
255	creo	0.0543	54.0	
256	auctor	0.0543	54.1	
257	absum	0.0543	54.1	
258	debeo	0.0543	54.2	
259	inquam	0.0538	54.2	
260	ars	0.0538	54.3	
261	frater	0.0536	54.3	
262	thos	0.0536	54.4	
263	nosco	0.0535	54.4	
264	e	0.0535	54.5	
265	fama	0.0533	54.5	
266	nouus	0.0533	54.6	
267	facilis	0.0527	54.6	
268	ops	0.0527	54.7	
269	secundus	0.0525	54.8	
270	aliqui	0.0525	54.8	
271	caput	0.0524	54.9	
272	semper	0.0521	54.9	
273	an	0.0519	55.0	
274	murus	0.0518	55.0	
275	ira	0.0517	55.1	
276	fugio	0.051	55.1	
277	verbum	0.0509	55.2	
278	potestas	0.0505	55.2	
279	soleo	0.0505	55.3	
280	dictator	0.0505	55.3	
281	paris	0.0499	55.4	
282	posterus	0.0499	55.4	
283	mereo	0.0496	55.5	
284	mors	0.0493	55.5	
285	vel	0.0493	55.6	
286	praeda	0.0493	55.6	
287	impetus	0.049	55.7	
288	metus	0.0484	55.7	
289	adsum	0.0482	55.8	
290	gratia	0.0481	55.8	
291	tertius	0.0479	55.9	
292	sive	0.0479	55.9	
293	porta	0.0479	56.0	
294	sto	0.0479	56.0	
295	mens	0.0477	56.1	
296	loquor	0.0477	56.1	
297	propter	0.0476	56.1	
298	sentio	0.0472	56.2	
299	flumen	0.0471	56.2	
300	potis	0.0468	56.3	
301	proficiscor	0.0467	56.3	
302	regius	0.0467	56.4	
303	mos	0.0466	56.4	
304	mal	0.0466	56.5	
305	bene	0.0466	56.5	
306	uir	0.0464	56.6	
307	mons	0.0461	56.6	
308	imperator	0.0455	56.7	
309	caedo	0.0454	56.7	
310	reddo	0.0453	56.7	
311	utor	0.0452	56.8	
312	deduco	0.0451	56.8	
313	vis	0.045	56.9	
314	magistratus	0.045	56.9	
315	voco	0.0448	57.0	
316	pugna	0.0445	57.0	
317	propior	0.0441	57.1	
318	cado	0.0441	57.1	
319	reor	0.0438	57.2	
320	dimitto	0.0433	57.2	
321	labor	0.0431	57.2	
322	cerno	0.0428	57.3	
323	tamquam	0.0425	57.3	
324	nuntio	0.0424	57.4	
325	littera	0.0424	57.4	
326	censeo	0.0422	57.4	
327	contineo	0.0421	57.5	
328	praeter	0.0421	57.5	
329	puto	0.0419	57.6	
330	summus	0.0418	57.6	
331	invenio	0.0417	57.7	
332	mater	0.0412	57.7	
333	uter	0.0411	57.7	
334	unde	0.0408	57.8	
335	addo	0.0405	57.8	
336	hispania	0.0404	57.9	
337	decerno	0.0402	57.9	
338	scipio	0.0402	57.9	
339	comitium	0.0402	58.0	
340	super	0.0402	58.0	
341	virtus	0.0402	58.1	
342	caedes	0.0402	58.1	
343	patria	0.0402	58.1	
344	forma	0.0402	58.2	
345	tollo	0.0401	58.2	
346	dubius	0.0401	58.3	
347	tal	0.0401	58.3	
348	instruo	0.0399	58.3	
349	transeo	0.0397	58.4	
350	pedes	0.0397	58.4	
351	pecunia	0.0396	58.5	
352	sanguis	0.0395	58.5	
353	audeo	0.0394	58.5	
354	ratio	0.0392	58.6	
355	procul	0.0391	58.6	
356	confero	0.039	58.7	
357	paro	0.039	58.7	
358	armo	0.0389	58.7	
359	sustineo	0.0388	58.8	
360	gallia	0.0388	58.8	
361	libertas	0.0388	58.9	
362	infero	0.0387	58.9	
363	consto	0.0386	58.9	
364	volo	0.0385	59.0	
365	amicus	0.0383	59.0	
366	quin	0.038	59.0	
367	dominus	0.0379	59.1	
368	crimen	0.0379	59.1	
369	quattuor	0.0378	59.2	
370	fallo	0.0378	59.2	
371	fortis	0.0378	59.2	
372	pompeius	0.0377	59.3	
373	timeo	0.0377	59.3	
374	uester	0.0377	59.3	
375	fere	0.0376	59.4	
376	fors	0.0376	59.4	
377	respondeo	0.0376	59.5	
378	aer	0.0376	59.5	
379	mora	0.0375	59.5	
380	sacer	0.0375	59.6	
381	cornu	0.0374	59.6	
382	moenia	0.0374	59.6	
383	praesens	0.0373	59.7	
384	uelut	0.0373	59.7	
385	maneo	0.0372	59.8	
386	civitas	0.0368	59.8	
387	diu	0.0365	59.8	
388	pes	0.0364	59.9	
389	volo	0.0364	59.9	
390	lux	0.0364	59.9	
391	traho	0.0362	60.0	
392	milis	0.0362	60.0	
393	extemplo	0.0361	60.1	
