  174 equio           0.097% (55.7%) 
  175 germanus        0.096% (55.8%) 
  176 adversarius     0.096% (55.9%) 
  177 acieris         0.095% (56.0%) 
  178 uter            0.095% (56.1%) 
  179 instituo        0.095% (56.2%) 
  180 ratio           0.094% (56.3%) 
  181 instruo         0.094% (56.4%) 
  182 contineo        0.093% (56.5%) 
  183 tum             0.093% (56.6%) 
  184 adduco          0.091% (56.7%) 
  185 populus         0.091% (56.8%) 
  186 certus          0.091% (56.8%) 
  187 subeo           0.091% (56.9%) 
  188 proficio        0.090% (57.0%) 
  189 prohibeo        0.090% (57.1%) 
  190 dimitto         0.090% (57.2%) 
  191 imperium        0.089% (57.3%) 
  192 munio           0.089% (57.4%) 
  193 spes            0.089% (57.5%) 
  194 verus           0.087% (57.6%) 
  195 eques           0.087% (57.6%) 
  196 for             0.086% (57.7%) 
  197 armus           0.086% (57.8%) 
  198 consto          0.086% (57.9%) 
  199 romani          0.086% (58.0%) 
  200 facilis         0.085% (58.1%) 
  201 fugo            0.084% (58.2%) 
  202 timor           0.084% (58.2%) 
  203 defendo         0.083% (58.3%) 
  204 apud            0.083% (58.4%) 
  205 paulus          0.083% (58.5%) 
  206 numerus         0.082% (58.6%) 
  207 regio           0.082% (58.7%) 
  208 occupo          0.082% (58.7%) 
  209 victoria        0.082% (58.8%) 
  210 accedo          0.082% (58.9%) 
  211 conspicio       0.082% (59.0%) 
  212 omnis           0.081% (59.1%) 
  213 auxilio         0.081% (59.1%) 
  214 deduco          0.081% (59.2%) 
  215 insequor        0.081% (59.3%) 
  216 C.              0.081% (59.4%) 
  217 turris          0.080% (59.5%) 
  218 modus           0.080% (59.6%) 
  219 acies           0.080% (59.6%) 
  220 post            0.079% (59.7%) 
  221 perterreo       0.079% (59.8%) 
  222 confero         0.078% (59.9%) 
  223 secundus        0.078% (59.9%) 
  224 posterus        0.078% (60.0%) 
  225 prior           0.077% (60.1%) 
  226 absum           0.077% (60.2%) 
  227 sustineo        0.076% (60.3%) 
  228 utor            0.076% (60.3%) 
  229 ager            0.076% (60.4%) 
  230 signo           0.076% (60.5%) 
  231 impedio         0.075% (60.6%) 
  232 nihil           0.074% (60.6%) 
  233 littera         0.074% (60.7%) 
  234 collis          0.074% (60.8%) 
